building_id,n_rows,n_error,n_warn,error_frac,verdict,R001,R002,R003,R004,R005,R006,site_id,coverage,nonzero_frac
Fox_assembly_Audrey,17544,6,278,0.0003419972640218878,Conditional,0,0,241,0,37,6,Fox,0.9975,0.981
Fox_education_Eldon,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9998
Fox_education_Suzan,17544,0,2,0.0,Conditional,0,0,1,0,1,0,Fox,0.9999,0.9966
Fox_education_Shirley,17544,0,1030,0.0,Conditional,0,0,1028,0,2,0,Fox,0.9999,0.908
Fox_lodging_Winifred,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9996
Fox_food_Francesco,17544,0,282,0.0,Conditional,0,0,279,0,3,0,Fox,0.9998,0.9928
Fox_education_Claude,17544,13,3,0.0007409940720474236,Conditional,0,0,0,0,3,13,Fox,0.9991,0.9991
Fox_education_Dominique,17544,0,2,0.0,Conditional,0,0,0,0,2,0,Fox,0.9999,0.9988
Fox_office_Carson,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9999
Fox_office_Sheila,17544,0,4,0.0,Conditional,0,0,1,0,3,0,Fox,0.9998,0.9888
Fox_education_Stacia,17544,0,9,0.0,Conditional,0,0,7,0,2,0,Fox,0.9999,0.9688
Fox_education_Ray,17544,0,1,0.0,Conditional,0,0,0,0,1,0,Fox,0.9999,0.9986
Fox_education_Marlana,17544,281,2,0.01601687186502508,Conditional,0,0,0,281,2,0,Fox,0.9999,0.9917
Fox_education_Rudolph,17544,88,869,0.005015959872321021,Conditional,0,88,857,0,12,0,Fox,0.9993,0.8211
Fox_office_Thelma,17544,0,343,0.0,Conditional,0,0,342,0,1,0,Fox,0.9999,0.9442
Fox_education_Leona,17544,0,3,0.0,Conditional,0,0,1,0,2,0,Fox,0.9999,0.9999
Fox_education_Kendrick,17544,0,425,0.0,Conditional,0,0,424,0,1,0,Fox,0.9999,0.972
Fox_public_Lauren,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9266
Fox_public_Martin,17544,0,19,0.0,Conditional,0,0,17,0,2,0,Fox,0.9999,0.9799
Fox_assembly_Tony,17544,75,101,0.004274965800273598,Conditional,0,0,100,75,1,0,Fox,0.9999,0.9832
Fox_education_Carleen,17544,0,27,0.0,Conditional,0,0,26,0,1,0,Fox,0.9999,0.9795
Fox_office_Essie,17544,0,91,0.0,Conditional,0,0,91,0,0,0,Fox,1.0,0.7962
Fox_office_Rowena,17544,0,153,0.0,Conditional,0,0,152,0,1,0,Fox,0.9999,0.9936
Fox_education_Cynthia,17544,0,1,0.0,Conditional,0,0,0,0,1,0,Fox,0.9999,0.6148
Fox_office_Bernard,17544,907,2,0.05169858641130871,Reject,0,0,0,907,2,0,Fox,0.9999,0.9997
Fox_education_Rosie,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9932
Fox_education_Virgil,17544,0,2,0.0,Conditional,0,0,0,0,2,0,Fox,0.9999,0.9929
Fox_education_Claire,17544,0,179,0.0,Conditional,0,0,178,0,1,0,Fox,0.9999,0.8793
Fox_education_Wendell,17544,0,18,0.0,Conditional,0,0,15,0,3,0,Fox,0.9998,0.9552
Fox_public_Rhonda,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9926
Fox_education_Delma,17544,0,58,0.0,Conditional,0,0,56,0,2,0,Fox,0.9999,0.3073
Fox_office_Edythe,17544,0,2,0.0,Conditional,0,0,1,0,1,0,Fox,0.9999,0.9062
Fox_assembly_Carlos,17544,0,100,0.0,Conditional,0,0,99,0,1,0,Fox,0.9999,0.9136
Fox_education_Jaclyn,17544,278,5,0.015845873233014136,Conditional,0,0,2,265,3,13,Fox,0.9991,0.9999
Fox_office_Yong,17544,0,8,0.0,Conditional,0,0,5,0,3,0,Fox,0.9998,0.9879
Peacock_lodging_Jamaal,17544,51,165,0.0029069767441860465,Conditional,0,0,162,0,3,51,Peacock,0.9969,0.5642
Peacock_education_Patience,17544,163,148,0.009290925672594619,Conditional,0,0,141,93,7,70,Peacock,0.9956,0.4985
Peacock_office_Major,17544,1836,41,0.10465116279069768,Reject,0,0,11,406,30,1430,Peacock,0.9168,0.9708
Peacock_education_Pasquale,17544,1295,650,0.07381440948472412,Reject,0,0,647,0,3,1295,Peacock,0.926,0.9769
Peacock_education_Ophelia,17544,1470,5,0.08378932968536251,Reject,0,0,1,0,4,1470,Peacock,0.916,0.3984
Peacock_office_Effie,17544,1326,447,0.0755813953488372,Reject,0,0,430,0,17,1326,Peacock,0.9234,0.9889
Peacock_lodging_Matthew,17544,52,59,0.0029639762881896944,Conditional,0,0,52,0,7,52,Peacock,0.9966,0.5323
Peacock_public_Linda,17544,1326,4,0.0755813953488372,Reject,0,0,0,0,4,1326,Peacock,0.9242,0.989
Peacock_education_Dustin,17544,1295,67,0.07381440948472412,Reject,0,0,64,0,3,1295,Peacock,0.926,0.4668
Peacock_assembly_Dena,17544,1761,3,0.10037619699042408,Reject,0,1032,0,0,3,729,Peacock,0.9583,0.4949
Peacock_education_Forest,17544,3347,205,0.19077747378020976,Reject,0,0,196,1839,9,1508,Peacock,0.9135,0.6497
Peacock_office_Julian,17544,1371,5932,0.07814637482900137,Reject,0,2,5846,0,86,1369,Peacock,0.9171,0.9562
Peacock_assembly_Russ,17544,51,5,0.0029069767441860465,Conditional,0,0,2,0,3,51,Peacock,0.9969,0.3311
Peacock_office_Jonathon,17544,1326,28,0.0755813953488372,Reject,0,0,20,0,8,1326,Peacock,0.924,0.383
Peacock_education_Yolanda,17544,128,8,0.00729594163246694,Conditional,0,0,5,48,3,80,Peacock,0.9953,0.548
Peacock_education_Lucie,17544,1326,3,0.0755813953488372,Reject,0,0,1,0,2,1326,Peacock,0.9243,0.989
Peacock_office_Norman,17544,1326,199,0.0755813953488372,Reject,0,0,194,0,5,1326,Peacock,0.9241,0.9654
Peacock_lodging_James,17544,52,89,0.0029639762881896944,Conditional,0,0,79,0,10,52,Peacock,0.9965,0.5523
Peacock_lodging_Wes,17544,60,7,0.003419972640218878,Conditional,0,0,4,0,3,60,Peacock,0.9964,0.5771
Peacock_office_Naomi,17544,1309,14,0.07461240310077519,Reject,0,0,10,0,4,1309,Peacock,0.9252,0.7023
Moose_education_Maria,17544,85,14,0.0048449612403100775,Conditional,0,0,5,0,9,85,Moose,0.9946,0.3803
Moose_education_Florence,17544,71,193,0.004046967624259006,Conditional,0,0,183,48,10,23,Moose,0.9981,0.9951
Moose_education_Marlon,17544,49,718,0.0027929776561787505,Conditional,0,0,708,26,10,23,Moose,0.9981,0.7999
Moose_education_Diane,17544,50,53,0.0028499772001823985,Conditional,0,0,43,27,10,23,Moose,0.9981,0.3872
Moose_education_Marina,17544,23,10,0.0013109895120839033,Conditional,0,0,0,0,10,23,Moose,0.9981,0.3535
Moose_education_Omar,17544,194,23,0.011057911536707706,Conditional,0,0,0,0,23,194,Moose,0.9876,0.996
Moose_education_Rene,17544,110,354,0.006269949840401277,Conditional,0,0,344,87,10,23,Moose,0.9981,0.9919
Moose_education_Lori,17544,411,27,0.023426812585499317,Conditional,0,0,11,326,16,85,Moose,0.9942,0.4617
Moose_education_Leland,17544,23,259,0.0013109895120839033,Conditional,0,0,249,0,10,23,Moose,0.9981,0.3883
Moose_education_Clark,17544,23,12,0.0013109895120839033,Conditional,0,0,2,0,10,23,Moose,0.9981,0.3625
Moose_education_Abbie,17544,248,1113,0.014135886912904697,Conditional,0,0,1103,225,10,23,Moose,0.9981,0.9916
Moose_education_Gladys,17544,85,35,0.0048449612403100775,Conditional,0,0,23,0,12,85,Moose,0.9945,0.3462
Moose_education_Sasha,17544,194,38,0.011057911536707706,Conditional,0,0,9,0,29,194,Moose,0.9873,0.9951
Moose_education_Dennis,17544,194,29,0.011057911536707706,Conditional,0,0,0,0,29,194,Moose,0.9873,0.9933
Moose_education_Ricardo,17544,194,24,0.011057911536707706,Conditional,0,0,0,0,24,194,Moose,0.9876,0.995
Bull_office_Anne,17544,0,38,0.0,Conditional,0,0,0,0,38,0,Bull,0.9978,0.9841
Bull_education_Magaret,17544,4,121,0.00022799817601459188,Conditional,0,4,105,0,16,0,Bull,0.9991,0.9839
Bull_office_Myron,17544,6,382,0.0003419972640218878,Conditional,0,6,366,0,16,0,Bull,0.9991,0.984
Bull_education_Myra,17544,8,93,0.00045599635202918376,Conditional,0,8,75,0,18,0,Bull,0.999,0.9851
Bull_education_Dan,17544,0,46,0.0,Conditional,0,0,13,0,33,0,Bull,0.9981,0.9836
Bull_lodging_Anibal,17544,1,192,5.699954400364797e-05,Conditional,0,1,141,0,51,0,Bull,0.9971,0.9028
Bull_lodging_Melissa,17544,0,46,0.0,Conditional,0,0,14,0,32,0,Bull,0.9982,0.9839
Bull_education_Delia,17544,5,34,0.00028499772001823985,Conditional,0,5,22,0,12,0,Bull,0.9993,0.691
Bull_education_Bryon,17544,9,458,0.0005129958960328317,Conditional,0,9,439,0,19,0,Bull,0.9989,0.985
Bull_assembly_Freda,17544,58,172,0.0033059735522115823,Conditional,0,13,156,0,16,45,Bull,0.9965,0.9838
Bull_education_Juan,17544,0,103,0.0,Conditional,0,0,76,0,27,0,Bull,0.9985,0.9835
Bull_education_Clarita,17544,5,63,0.00028499772001823985,Conditional,0,5,40,0,23,0,Bull,0.9987,0.9343
Bull_lodging_Caren,17544,0,43,0.0,Conditional,0,0,10,0,33,0,Bull,0.9981,0.9834
Bull_education_Kristal,17544,0,49,0.0,Conditional,0,0,22,0,27,0,Bull,0.9985,0.9841
Bull_assembly_Amalia,17544,0,49,0.0,Conditional,0,0,17,0,32,0,Bull,0.9982,0.9766
Bull_education_Arthur,17544,0,48,0.0,Conditional,0,0,16,0,32,0,Bull,0.9982,0.9827
Bull_assembly_Lesa,17544,3,96,0.0001709986320109439,Conditional,0,3,57,0,39,0,Bull,0.9978,0.9828
Bull_education_Roland,17544,8,300,0.00045599635202918376,Conditional,0,8,284,0,16,0,Bull,0.9991,0.9841
Bull_education_Joseph,17544,0,50,0.0,Conditional,0,0,16,0,34,0,Bull,0.9981,0.9812
Bull_office_Lilla,17544,0,40,0.0,Conditional,0,0,5,0,35,0,Bull,0.998,0.9855
Bull_education_Miquel,17544,74,71,0.00421796625626995,Conditional,0,0,26,0,45,74,Bull,0.9932,0.984
Bull_office_Efren,17544,1,143,5.699954400364797e-05,Conditional,0,1,125,0,18,0,Bull,0.999,0.9217
Bull_lodging_Lettie,17544,28,43,0.0015959872321021432,Conditional,0,0,15,0,28,28,Bull,0.9968,0.984
Bull_lodging_Travis,17544,2,69,0.00011399908800729594,Conditional,0,2,39,0,30,0,Bull,0.9983,0.9737
Bull_lodging_Danielle,17544,9,58,0.0005129958960328317,Conditional,0,9,39,0,19,0,Bull,0.9989,0.862
Bull_public_Jefferson,17544,0,39,0.0,Conditional,0,0,3,0,36,0,Bull,0.9979,0.9855
Bull_education_Barry,17544,8,177,0.00045599635202918376,Conditional,0,8,157,0,20,0,Bull,0.9989,0.9735
Bull_lodging_Leonard,17544,0,43,0.0,Conditional,0,0,8,0,35,0,Bull,0.998,0.9841
Bull_education_Dania,17544,0,45,0.0,Conditional,0,0,19,0,26,0,Bull,0.9985,0.9856
Bull_education_Reynaldo,17544,0,44,0.0,Conditional,0,0,8,0,36,0,Bull,0.9979,0.9733
Bull_education_Reina,17544,0,38,0.0,Conditional,0,0,3,0,35,0,Bull,0.998,0.9841
Bull_assembly_Freddie,17544,0,74,0.0,Conditional,0,0,48,0,26,0,Bull,0.9985,0.9841
Bull_education_Genie,17544,0,66,0.0,Conditional,0,0,39,0,27,0,Bull,0.9985,0.9841
Bull_education_Tracey,17544,9,111,0.0005129958960328317,Conditional,0,9,95,0,16,0,Bull,0.9991,0.8848
Bull_education_Lydia,17544,0,57,0.0,Conditional,0,0,26,0,31,0,Bull,0.9982,0.9549
Bull_education_Mario,17544,8,497,0.00045599635202918376,Conditional,0,8,481,0,16,0,Bull,0.9991,0.984
Bull_public_Hyun,17544,0,46,0.0,Conditional,0,0,18,0,28,0,Bull,0.9984,0.984
Bull_assembly_Brandon,17544,0,183,0.0,Conditional,0,0,162,0,21,0,Bull,0.9988,0.9851
Bull_lodging_Dave,17544,0,48,0.0,Conditional,0,0,19,0,29,0,Bull,0.9983,0.984
Bull_education_Linnie,17544,0,62,0.0,Conditional,0,0,38,0,24,0,Bull,0.9986,0.9841
Bull_assembly_Dorethea,17544,0,51,0.0,Conditional,0,0,25,0,26,0,Bull,0.9985,0.9393
Bull_education_Miranda,17544,0,46,0.0,Conditional,0,0,12,0,34,0,Bull,0.9981,0.9841
Bull_education_Roseann,17544,1,175,5.699954400364797e-05,Conditional,0,1,156,0,19,0,Bull,0.9989,0.9791
Bull_lodging_Carie,17544,9,118,0.0005129958960328317,Conditional,0,9,104,0,14,0,Bull,0.9992,0.9224
Bull_education_Geneva,17544,3,83,0.0001709986320109439,Conditional,0,3,66,0,17,0,Bull,0.999,0.968
Bull_assembly_Goldie,17544,0,39,0.0,Conditional,0,0,6,0,33,0,Bull,0.9981,0.9856
Bull_education_Krista,17544,0,52,0.0,Conditional,0,0,28,0,24,0,Bull,0.9986,0.9655
Bull_assembly_Gerri,17544,4,145,0.00022799817601459188,Conditional,0,4,128,0,17,0,Bull,0.999,0.9836
Bull_education_Patrina,17544,3,84,0.0001709986320109439,Conditional,0,3,57,0,27,0,Bull,0.9985,0.9761
Bull_education_Lyn,17544,1,627,5.699954400364797e-05,Conditional,0,1,611,0,16,0,Bull,0.9991,0.9833
Bull_office_Mai,17544,65,41,0.003704970360237118,Conditional,0,0,9,0,32,65,Bull,0.9945,0.9815
Bull_assembly_Gigi,17544,0,179,0.0,Conditional,0,0,152,0,27,0,Bull,0.9985,0.9772
Bull_office_Rob,17544,0,53,0.0,Conditional,0,0,28,0,25,0,Bull,0.9986,0.9802
Bull_education_Dora,17544,4,158,0.00022799817601459188,Conditional,0,4,139,0,19,0,Bull,0.9989,0.9816
Bull_education_Jae,17544,4,56,0.00022799817601459188,Conditional,0,4,38,0,18,0,Bull,0.999,0.9818
Bull_education_Hayley,17544,4,347,0.00022799817601459188,Conditional,0,4,330,0,17,0,Bull,0.999,0.9841
Bull_assembly_Beau,17544,0,85,0.0,Conditional,0,0,57,0,28,0,Bull,0.9984,0.9856
Bull_education_Pablo,17544,0,50,0.0,Conditional,0,0,23,0,27,0,Bull,0.9985,0.9785
Bull_education_Pamela,17544,0,48,0.0,Conditional,0,0,17,0,31,0,Bull,0.9982,0.9854
Bull_office_Trevor,17544,0,41,0.0,Conditional,0,0,5,0,36,0,Bull,0.9979,0.9855
Bull_office_Debbie,17544,0,54,0.0,Conditional,0,0,27,0,27,0,Bull,0.9985,0.9841
Bull_education_Antonia,17544,0,53,0.0,Conditional,0,0,21,0,32,0,Bull,0.9982,0.9797
Bull_office_Chantel,17544,0,43,0.0,Conditional,0,0,10,0,33,0,Bull,0.9981,0.9839
Bull_education_Venita,17544,0,66,0.0,Conditional,0,0,40,0,26,0,Bull,0.9985,0.9837
Bull_education_Brain,17544,0,51,0.0,Conditional,0,0,24,0,27,0,Bull,0.9985,0.9842
Bull_education_Fabiola,17544,4,72,0.00022799817601459188,Conditional,0,4,57,0,15,0,Bull,0.9991,0.9767
Bull_education_Sebastian,17544,0,37,0.0,Conditional,0,0,2,0,35,0,Bull,0.998,0.9841
Bull_education_Olive,17544,0,52,0.0,Conditional,0,0,27,0,25,0,Bull,0.9986,0.9841
Bull_office_Sally,17544,3,200,0.0001709986320109439,Conditional,0,3,182,0,18,0,Bull,0.999,0.9763
Bull_education_Matilda,17544,9,79,0.0005129958960328317,Conditional,0,0,53,0,26,9,Bull,0.998,0.9825
Bull_education_Elva,17544,0,42,0.0,Conditional,0,0,9,0,33,0,Bull,0.9981,0.9842
Bull_education_Carl,17544,10,71,0.0005699954400364797,Conditional,0,10,53,0,18,0,Bull,0.999,0.9713
Bull_education_Nichole,17544,0,47,0.0,Conditional,0,0,16,0,31,0,Bull,0.9982,0.9841
Bull_lodging_Jeremiah,17544,0,41,0.0,Conditional,0,0,4,0,37,0,Bull,0.9979,0.9841
Bull_assembly_Lance,17544,0,44,0.0,Conditional,0,0,9,0,35,0,Bull,0.998,0.984
Bull_education_Annette,17544,0,52,0.0,Conditional,0,0,20,0,32,0,Bull,0.9982,0.9755
Bull_education_Violeta,17544,34,54,0.001937984496124031,Conditional,0,8,36,0,18,26,Bull,0.9975,0.883
Bull_education_Stewart,17544,3,57,0.0001709986320109439,Conditional,0,3,38,0,19,0,Bull,0.9989,0.9798
Bull_assembly_Nathanial,17544,0,56,0.0,Conditional,0,0,13,0,43,0,Bull,0.9975,0.9723
Bull_lodging_Terence,17544,5,99,0.00028499772001823985,Conditional,0,5,45,0,54,0,Bull,0.9969,0.9185
Bull_lodging_Perry,17544,0,68,0.0,Conditional,0,0,42,0,26,0,Bull,0.9985,0.9841
Bull_education_Mervin,17544,0,44,0.0,Conditional,0,0,15,0,29,0,Bull,0.9983,0.9841
Bull_education_Lenny,17544,0,50,0.0,Conditional,0,0,24,0,26,0,Bull,0.9985,0.9841
Bull_assembly_Vanessa,17544,0,43,0.0,Conditional,0,0,9,0,34,0,Bull,0.9981,0.9814
Bull_education_Dottie,17544,6,74,0.0003419972640218878,Conditional,0,6,55,0,19,0,Bull,0.9989,0.9658
Bull_education_Nina,17544,0,55,0.0,Conditional,0,0,29,0,26,0,Bull,0.9985,0.9841
Bull_education_Gregory,17544,0,43,0.0,Conditional,0,0,12,0,31,0,Bull,0.9982,0.9841
Bull_education_Kendra,17544,143,55,0.00815093479252166,Conditional,0,0,24,0,31,143,Bull,0.9901,0.9801
Bull_lodging_Hugo,17544,6,117,0.0003419972640218878,Conditional,0,6,95,0,22,0,Bull,0.9987,0.9842
Bull_office_Yvonne,17544,12,306,0.0006839945280437756,Conditional,0,12,211,0,95,0,Bull,0.9946,0.9736
Bull_education_Brenda,17544,8,53,0.00045599635202918376,Conditional,0,8,36,0,17,0,Bull,0.999,0.9023
Bull_education_Bernice,17544,1,815,5.699954400364797e-05,Conditional,0,1,797,0,18,0,Bull,0.999,0.9672
Bull_assembly_Maren,17544,1,542,5.699954400364797e-05,Conditional,0,1,524,0,18,0,Bull,0.999,0.9671
Bull_education_Racheal,17544,0,53,0.0,Conditional,0,0,22,0,31,0,Bull,0.9982,0.9838
Bull_education_Luke,17544,0,45,0.0,Conditional,0,0,12,0,33,0,Bull,0.9981,0.984
Bobcat_assembly_Billy,17544,8,14,0.00045599635202918376,Conditional,0,0,1,0,13,8,Bobcat,0.9988,0.2274
Bobcat_education_Rosalva,17544,58,100,0.0033059735522115823,Conditional,0,0,82,0,18,58,Bobcat,0.9957,0.2286
Bobcat_other_Jovita,17544,33,89,0.001880984952120383,Conditional,0,0,75,0,14,33,Bobcat,0.9973,0.35
Bobcat_education_Miki,17544,9,29,0.0005129958960328317,Conditional,0,1,14,0,15,8,Bobcat,0.9987,0.5368
Bobcat_education_Alissa,17544,15,71,0.0008549931600547196,Conditional,0,0,46,0,25,15,Bobcat,0.9977,0.3314
