building_id,n_rows,n_obs,coverage,n_zero,zero_frac,n_neg,median,p99,max_gap_h,n_gap_ge6,flat_max_h,site_id
Fox_education_Jacqueline,17544,17543,0.9999430004559964,3962,0.225845066408254,0,909.3125,2378.821983999999,1,0,2365,Fox
Fox_education_Yolande,17544,17543,0.9999430004559964,1,5.700279313686371e-05,0,4856.5107,12043.896693999994,1,0,2,Fox
Fox_education_Lesley,17544,17541,0.999829001367989,61,0.0034775668433954733,0,33.8891,371.81385999999964,1,0,16,Fox
Fox_assembly_Renna,17544,17542,0.9998860009119928,1,5.7006042640519895e-05,0,2845.6214,6076.833542,1,0,2,Fox
Fox_lodging_Wallace,17544,17541,0.999829001367989,3,0.0001710278775440397,0,2778.6474,5717.290319999996,1,0,3,Fox
Fox_education_Maris,17544,17541,0.999829001367989,2411,0.13744940425289323,0,59.9859,531.1660799999999,1,0,1083,Fox
Fox_education_John,17544,17543,0.9999430004559964,411,0.023428147979250982,0,51.0808,443.47287199999977,1,0,200,Fox
Fox_food_Scott,17544,17543,0.9999430004559964,133,0.007581371487202873,0,387.3729,19248.405431999985,1,0,72,Fox
Fox_education_Marcelina,17544,17543,0.9999430004559964,12061,0.6875106880237132,0,0.0,115.59097199999977,1,0,1301,Fox
Fox_utility_Marian,17544,17543,0.9999430004559964,120,0.006840335176423645,0,4063.4596,14062.051207999986,1,0,105,Fox
Fox_education_Sterling,17544,17539,0.9997150022799818,3396,0.1936256343007013,0,86.083,794.5947759999995,1,0,51,Fox
Fox_education_Elvira,17544,17541,0.999829001367989,87,0.0049598084487771504,0,580.8123,1973.500219999997,1,0,46,Fox
Fox_lodging_Isabell,17544,17541,0.999829001367989,776,0.044239210991391595,0,406.6674,730.1710399999998,1,0,168,Fox
Fox_education_Ollie,17544,17543,0.9999430004559964,5098,0.2906002394117312,0,363.8733,2415.4789579999965,1,0,2256,Fox
Fox_education_Elois,17544,17539,0.9997150022799818,5070,0.2890700724100576,0,43.5361,336.7869,2,0,343,Fox
Fox_education_Melinda,17544,17542,0.9998860009119928,189,0.01077414205905826,0,3613.8125499999996,9530.56169,1,0,166,Fox
Fox_education_Geoffrey,17544,17541,0.999829001367989,1186,0.06761302092241035,0,682.8502,2650.215739999999,1,0,922,Fox
Fox_education_Vernon,17544,8783,0.5006269949840402,344,0.039166571786405556,0,108.2219,1118.7958640000002,8760,1,179,Fox
Fox_public_Bart,17544,17542,0.9998860009119928,124,0.007068749287424467,0,584.0282,2403.3605230000003,1,0,23,Fox
Fox_lodging_Angla,17544,17542,0.9998860009119928,58,0.003306350473150154,0,1159.2128,2428.699365,1,0,25,Fox
Fox_education_Janina,17544,17528,0.9990880072959416,1271,0.07251255134641717,0,30.3022,140.84078199999993,13,1,46,Fox
Fox_education_Burton,17544,17543,0.9999430004559964,286,0.01630279883714302,0,487.5557,6325.968285999976,1,0,105,Fox
Fox_office_Karima,17544,17543,0.9999430004559964,2821,0.16080487943909252,0,305.1244,1957.1566899999984,1,0,512,Fox
Fox_assembly_Cathy,17544,17542,0.9998860009119928,1591,0.09069661384106716,0,410.6253,2092.917964,1,0,1174,Fox
Fox_office_Zachary,17544,17543,0.9999430004559964,118,0.006726329590149917,0,440.1855,3944.825843999993,1,0,105,Fox
Fox_education_Gloria,17544,17541,0.999829001367989,7,0.00039906504760275923,0,2315.8281,5954.018319999999,1,0,1480,Fox
Fox_education_Nilda,17544,17543,0.9999430004559964,718,0.04092800547226814,0,1030.7687,2545.461793999998,1,0,329,Fox
Fox_education_Ashli,17544,17542,0.9998860009119928,2963,0.16890890434386044,0,188.9867,533.885842,1,0,1064,Fox
Fox_health_Lorena,17544,17543,0.9999430004559964,591,0.03368865074388645,0,232.1518,784.8361039999998,1,0,18,Fox
Fox_lodging_Helen,17544,17543,0.9999430004559964,78,0.004446217864675369,0,3430.7009,7431.17862199999,1,0,22,Fox
Fox_education_Long,17544,17543,0.9999430004559964,623,0.03551274012426609,0,910.5494,2883.022987999999,1,0,37,Fox
Fox_education_Louie,17544,17542,0.9998860009119928,1,5.7006042640519895e-05,0,2592.382,4210.292784,1,0,2,Fox
Fox_lodging_Jina,17544,17542,0.9998860009119928,0,0.0,0,1344.6125499999998,2522.3777,1,0,3,Fox
Fox_education_Shaun,17544,17543,0.9999430004559964,2987,0.1702673430998119,0,109.2116,2084.517501999998,1,0,1868,Fox
Fox_education_Kim,17544,17543,0.9999430004559964,1283,0.07313458359459614,0,172.0422,938.2691859999967,1,0,16,Fox
Fox_education_Otilia,17544,17528,0.9990880072959416,8,0.00045641259698767686,0,5619.25985,14428.518199999999,13,1,5,Fox
Fox_lodging_Alana,17544,17541,0.999829001367989,0,0.0,0,1639.0385,3525.317579999998,1,0,2,Fox
Fox_office_Easter,17544,13425,0.765218878248974,157,0.011694599627560521,0,73.9622,580.7576960000001,84,215,15,Fox
Fox_education_Tonya,17544,17541,0.999829001367989,120,0.006841115101761587,0,811.1087,2110.3917,1,0,107,Fox
Fox_education_Elizabeth,17544,17542,0.9998860009119928,693,0.039505187549880284,0,927.55565,3399.4980640000003,1,0,22,Fox
Fox_office_Juana,17544,17543,0.9999430004559964,5373,0.3062760075243687,0,4.4527,468.2489879999988,1,0,59,Fox
Fox_assembly_Boyce,17544,17528,0.9990880072959416,160,0.009128251939753538,0,1287.1003,3304.3012109999995,13,1,123,Fox
Fox_education_Eddy,17544,17542,0.9998860009119928,2,0.00011401208528103979,0,1363.59775,2846.717255,1,0,2,Fox
Fox_education_Melvin,17544,17542,0.9998860009119928,506,0.02884505757610307,0,352.2473,1534.791428000001,1,0,101,Fox
Fox_assembly_Audrey,17544,17501,0.9975490196078431,333,0.019027484143763214,0,92.7618,489.9056,6,1,64,Fox
Fox_education_Eldon,17544,17541,0.999829001367989,3,0.0001710278775440397,0,571.7835,1847.39368,1,0,2,Fox
Fox_education_Suzan,17544,17543,0.9999430004559964,59,0.0033631647950749586,0,240.8096,995.9891019999976,1,0,11,Fox
Fox_education_Shirley,17544,17542,0.9998860009119928,1613,0.09195074677915858,0,66.9123,2143.23448,1,0,157,Fox
Fox_lodging_Winifred,17544,17541,0.999829001367989,7,0.00039906504760275923,0,462.0772,1019.0189,1,0,2,Fox
Fox_food_Francesco,17544,17541,0.999829001367989,127,0.007240180149364346,0,397.3914,1264.6517799999992,1,0,21,Fox
Fox_education_Claude,17544,17528,0.9990880072959416,16,0.0009128251939753537,0,6626.281349999999,13113.531318999998,13,1,6,Fox
Fox_education_Maureen,17544,8637,0.49230506155950754,1766,0.20446914437883523,0,1159.0272,3493.1601,8784,2,1102,Fox
Fox_education_Dominique,17544,17542,0.9998860009119928,21,0.0011971268954509178,0,1846.8863999999999,4129.966123,1,0,7,Fox
Fox_office_Carson,17544,17541,0.999829001367989,1,5.7009292514679893e-05,0,388.6098,1264.7506999999996,1,0,2,Fox
Fox_office_Sheila,17544,17541,0.999829001367989,196,0.01117382133287726,0,114.4063,221.5893799999998,1,0,52,Fox
Fox_education_Stacia,17544,17542,0.9998860009119928,548,0.0312393113670049,0,1102.2571,1859.186697,1,0,284,Fox
Fox_education_Ray,17544,17543,0.9999430004559964,25,0.0014250698284215926,0,174.7632,383.5389,1,0,7,Fox
Fox_education_Marlana,17544,17542,0.9998860009119928,146,0.008322882225515905,0,1416.7813,3388.395233,1,0,101,Fox
Fox_education_Rudolph,17544,17532,0.9993160054719562,3136,0.17887291809263062,0,61.841,3122.4942669999627,2,0,331,Fox
Fox_office_Thelma,17544,17543,0.9999430004559964,979,0.05580573448098957,0,264.9275,7323.2262779999965,1,0,236,Fox
Fox_education_Leona,17544,17542,0.9998860009119928,2,0.00011401208528103979,0,1209.48955,5914.543874,1,0,2,Fox
Fox_education_Kendrick,17544,17543,0.9999430004559964,491,0.02798837143020008,0,20.0365,311.08077599999956,1,0,69,Fox
Fox_public_Lauren,17544,17541,0.999829001367989,1288,0.0734279687589077,0,586.7491,1468.3319999999994,1,0,1287,Fox
Fox_education_Heriberto,17544,11958,0.6816005471956225,43,0.0035959190500083624,0,255.7133,913.2530680000001,1073,335,32,Fox
Fox_public_Martin,17544,17542,0.9998860009119928,353,0.020123133052103524,0,990.8194,2569.0540480000004,1,0,335,Fox
Fox_assembly_Tony,17544,17543,0.9999430004559964,295,0.016815823975374792,0,1090.5073,2492.9510899999937,1,0,72,Fox
Fox_education_Carleen,17544,17543,0.9999430004559964,359,0.02046400273613407,0,338.8896,1657.207287999999,1,0,44,Fox
Fox_office_Essie,17544,17544,1.0,3576,0.20383036935704515,0,228.99790000000002,1755.0499409999995,0,0,95,Fox
Fox_office_Rowena,17544,17543,0.9999430004559964,113,0.0064413156244655986,0,7.9157,345.0737,1,0,22,Fox
Fox_education_Cynthia,17544,17543,0.9999430004559964,6757,0.38516787322578805,0,750.5046,2664.5233619999963,1,0,2351,Fox
Fox_office_Bernard,17544,17542,0.9998860009119928,5,0.0002850302132025995,0,388.7955,989.531742,1,0,335,Fox
Fox_education_Rosie,17544,17541,0.999829001367989,119,0.006784105809246908,0,634.8614,1641.0421399999987,1,0,105,Fox
Fox_education_Virgil,17544,17542,0.9998860009119928,124,0.007068749287424467,0,495.90430000000003,1329.578997,1,0,118,Fox
Fox_education_Claire,17544,17543,0.9999430004559964,2118,0.12073191586387733,0,326.274,1470.4791499999997,1,0,1388,Fox
Fox_education_Wendell,17544,17541,0.999829001367989,786,0.044809303916538396,0,2824.039,6807.525479999999,1,0,363,Fox
Fox_public_Rhonda,17544,17541,0.999829001367989,129,0.007354198734393707,0,738.3834,1778.4285,1,0,105,Fox
Fox_education_Delma,17544,17542,0.9998860009119928,12151,0.6926804241249572,0,0.0,1486.6839069999999,1,0,8388,Fox
Fox_office_Edythe,17544,17543,0.9999430004559964,1645,0.09376959471014079,0,497.2031,1405.4741299999998,1,0,923,Fox
Fox_assembly_Carlos,17544,17543,0.9999430004559964,1515,0.08635923160234851,0,472.8377,1401.2689039999998,1,0,824,Fox
Fox_education_Jaclyn,17544,17528,0.9990880072959416,1,5.705157462345961e-05,0,1335.5220000000002,3475.6444519999995,13,1,265,Fox
Fox_office_Yong,17544,17541,0.999829001367989,212,0.012085970013112138,0,787.2381,2418.2617399999986,1,0,87,Fox
Peacock_lodging_Jamaal,17544,17490,0.996922024623803,7623,0.4358490566037736,0,19.954250000000002,2989.7839440000007,36,2,1620,Peacock
Peacock_education_Patience,17544,17467,0.9956110351117191,8759,0.5014598958035152,0,0.0,367.1231600000001,37,3,876,Peacock
Peacock_public_Kelvin,17544,3416,0.19471044231646148,0,0.0,0,10989.705549999999,29840.86983,14112,2,1,Peacock
Peacock_assembly_Mamie,17544,2360,0.13451892384860922,2179,0.9233050847457627,0,0.0,370.129054,15168,2,732,Peacock
Peacock_office_Major,17544,16084,0.916780665754674,470,0.02922158666998259,0,521.61745,1387.5176210000002,1258,7,381,Peacock
Peacock_education_Pasquale,17544,16246,0.926014591883265,375,0.023082604948910502,0,726.1266499999999,3556.150204999992,1258,2,167,Peacock
Peacock_education_Ophelia,17544,16070,0.9159826721386229,9668,0.6016179215930305,0,0.0,4574.602495999999,1402,4,2399,Peacock
Peacock_office_Effie,17544,16201,0.9234496124031008,180,0.011110425282389976,0,271.932,1664.3169,1258,4,145,Peacock
Peacock_lodging_Sergio,17544,3391,0.19328545371637026,15,0.0044234739015039815,0,93.1853,1217.8473999999999,14112,1,7,Peacock
Peacock_education_Lyle,17544,3417,0.19476744186046513,0,0.0,0,992.3035,7749.741060000011,14112,2,2,Peacock
Peacock_lodging_Matthew,17544,17485,0.9966370269037848,8178,0.467715184443809,0,17.0388,241.40540000000001,37,2,1323,Peacock
Peacock_office_Dara,17544,0,0.0,0,0.0,0,,,17544,0,0,Peacock
Peacock_public_Linda,17544,16214,0.9241906064751482,179,0.011039842111755273,0,473.1605,1842.4209419999995,1258,4,145,Peacock
Peacock_education_Dustin,17544,16246,0.926014591883265,8662,0.533177397513234,0,0.0,1663.3159499999983,1258,2,172,Peacock
Peacock_education_Weldon,17544,3417,0.19476744186046513,1120,0.32777290020485805,0,3440.3107,16104.81752000002,14112,2,1120,Peacock
Peacock_assembly_Dena,17544,16812,0.9582763337893296,8491,0.5050559124434928,0,0.0,2178496.8572499994,661,4,3191,Peacock
Peacock_education_Forest,17544,16027,0.913531691746466,5614,0.35028389592562553,0,77.7252,1509.2337,1258,10,1867,Peacock
Peacock_office_Julian,17544,16089,0.9170656634746922,705,0.04381875815774753,0,0.3316,685.7366239999996,1258,10,145,Peacock
Peacock_assembly_Russ,17544,17490,0.996922024623803,11699,0.6688965122927387,0,0.0,1749.866606,36,2,588,Peacock
Peacock_office_Jonathon,17544,16210,0.9239626082991336,10001,0.6169648365206662,0,0.0,223.74277299999997,1258,4,376,Peacock
Peacock_education_Anita,17544,10845,0.6181600547195623,594,0.054771784232365145,0,0.1815,431.83137599999975,1258,88,167,Peacock
Peacock_education_Yolanda,17544,17461,0.9952690378476973,7892,0.45197869537827157,0,203.8134,2692.7727000000036,37,4,723,Peacock
Peacock_education_Lucie,17544,16216,0.9243046055631555,179,0.011038480513073507,0,6514.8955000000005,17197.28584,1258,4,145,Peacock
Peacock_office_Norman,17544,16213,0.9241336069311445,561,0.03460186270276938,0,72.7035,544.3550079999997,1258,4,145,Peacock
Peacock_lodging_James,17544,17482,0.9964660282717738,7826,0.4476604507493422,0,1.2134999999999998,16.871231999999996,37,2,23,Peacock
Peacock_lodging_Wes,17544,17481,0.9964090287277702,7392,0.422859104170242,0,140.5228,1081.6951400000003,16,4,931,Peacock
Peacock_office_Naomi,17544,16231,0.9251595987232102,4832,0.2977019284086008,0,120.4521,2890.68777,1258,3,2854,Peacock
Moose_education_Maria,17544,17450,0.9946420428636571,10814,0.6197134670487106,0,0.0,1374.3067,85,1,5032,Moose
Moose_education_Florence,17544,17511,0.9981190150478796,85,0.00485409171377991,0,128.6362,1635.3652,23,1,24,Moose
Moose_education_Marlon,17544,17511,0.9981190150478796,3504,0.20010279253040947,0,3.0806,187.45656000000022,23,1,3380,Moose
Moose_education_Diane,17544,17511,0.9981190150478796,10730,0.6127576951630404,0,0.0,656.9038200000032,23,1,1144,Moose
Moose_education_Marina,17544,17511,0.9981190150478796,11321,0.6465079093141454,0,0.0,112.58539000000005,23,1,2424,Moose
Moose_education_Omar,17544,17327,0.9876310989512084,70,0.004039937669533099,0,366.7781,990.9790160000003,165,3,67,Moose
Moose_education_Rene,17544,17511,0.9981190150478796,142,0.008109188510079378,0,187.2057,1949.8771500000014,23,1,34,Moose
Moose_education_Lori,17544,17443,0.9942430460556315,9390,0.5383248294444763,0,0.0,431.65417599999915,85,1,4617,Moose
Moose_education_Leland,17544,17511,0.9981190150478796,10711,0.6116726628976072,0,0.0,1934.1849,23,1,4153,Moose
Moose_education_Clark,17544,17511,0.9981190150478796,11163,0.6374850094226486,0,0.0,2148.4267,23,1,2962,Moose
Moose_education_Abbie,17544,17511,0.9981190150478796,147,0.008394723316772315,0,98.864,1486.2234,23,1,142,Moose
Moose_education_Gladys,17544,17447,0.9944710442316461,11406,0.6537513612655471,0,0.0,2185.1295,85,1,5946,Moose
Moose_education_Sasha,17544,17321,0.9872891016871865,85,0.004907337913515386,0,54.2389,293.3179999999998,165,3,66,Moose
Moose_education_Dennis,17544,17321,0.9872891016871865,116,0.006697072917268056,0,28.3806,139.72902,165,3,66,Moose
Moose_education_Ricardo,17544,17326,0.9875740994072048,87,0.005021355188733695,0,158.6807,588.922,165,3,78,Moose
Bull_office_Anne,17544,17506,0.9978340173278614,278,0.01588026962184394,0,325.0371,404.4413,1,0,82,Bull
Bull_education_Magaret,17544,17528,0.9990880072959416,283,0.01614559561843907,0,803.13125,1624.3770479999998,1,0,25,Bull
Bull_office_Myron,17544,17528,0.9990880072959416,281,0.01603149246919215,0,715.6877999999999,1938.406556,1,0,23,Bull
Bull_education_Myra,17544,17526,0.9989740082079344,262,0.01494921830423371,0,520.02235,1256.70525,1,0,23,Bull
Bull_education_Dan,17544,17511,0.9981190150478796,287,0.016389697904174518,0,1815.0382,3140.7770200000004,1,0,82,Bull
Bull_lodging_Anibal,17544,17493,0.997093023255814,1700,0.09718172983479106,0,172.4132,1692.4693,1,0,1250,Bull
Bull_lodging_Melissa,17544,17512,0.9981760145918832,282,0.016103243490178165,0,2359.4262,4532.5879589999995,2,0,82,Bull
Bull_education_Delia,17544,17532,0.9993160054719562,5418,0.30903490759753593,0,5910.5317,23943.792609999997,1,0,5290,Bull
Bull_education_Bryon,17544,17525,0.9989170086639307,262,0.014950071326676176,0,266.9064,667.5779759999996,1,0,23,Bull
Bull_assembly_Freda,17544,17483,0.9965230278157775,284,0.016244351655894298,0,1216.9106,2155.9290840000003,45,1,25,Bull
Bull_education_Juan,17544,17517,0.9984610123119015,289,0.016498258834275276,0,2229.0031,5829.029880000001,1,0,82,Bull
Bull_education_Clarita,17544,17521,0.9986890104879161,1152,0.06574967182238457,0,2302.8415,4577.112379999999,1,0,529,Bull
Bull_lodging_Caren,17544,17511,0.9981190150478796,290,0.01656101878819028,0,1333.1721,2383.3463200000006,1,0,82,Bull
Bull_education_Kristal,17544,17517,0.9984610123119015,279,0.015927384826168865,0,3562.6696,7995.885020000001,1,0,82,Bull
Bull_assembly_Amalia,17544,17512,0.9981760145918832,409,0.023355413430790315,0,3224.8313500000004,7550.477868999999,2,0,130,Bull
Bull_education_Arthur,17544,17512,0.9981760145918832,303,0.01730242119689356,0,1250.6759,2664.6950899999997,1,0,82,Bull
Bull_assembly_Lesa,17544,17505,0.9977770177838577,301,0.017195087117966294,0,183.792,496.6984119999998,2,0,25,Bull
Bull_education_Roland,17544,17528,0.9990880072959416,278,0.01586033774532177,0,1784.1177,4823.4911919999995,1,0,25,Bull
Bull_education_Joseph,17544,17510,0.998062015503876,329,0.018789263278126786,0,1285.8015,2604.952795,1,0,82,Bull
Bull_office_Lilla,17544,17509,0.9980050159598723,254,0.014506825061396996,0,1707.1873,3595.1884959999998,2,0,82,Bull
Bull_education_Miquel,17544,17425,0.9932170542635659,278,0.01595408895265423,0,1804.7729,4085.450411999999,26,4,82,Bull
Bull_office_Efren,17544,17526,0.9989740082079344,1373,0.07834075088440032,0,292.8798,1731.954825,2,0,193,Bull
Bull_lodging_Lettie,17544,17488,0.9968080255357957,280,0.016010978956999086,0,266.783,472.8537420000001,28,1,82,Bull
Bull_lodging_Travis,17544,17514,0.9982900136798906,461,0.026321799703094666,0,7609.4323,13072.940078999996,1,0,53,Bull
Bull_lodging_Danielle,17544,17525,0.9989170086639307,2419,0.13803138373751783,0,296.7138,690.0879719999996,1,0,2067,Bull
Bull_public_Jefferson,17544,17508,0.9979480164158687,253,0.014450536897418324,0,399.2465,567.940834,2,0,82,Bull
Bull_education_Barry,17544,17524,0.998860009119927,465,0.0265350376626341,0,4030.43635,8743.428517,1,0,25,Bull
Bull_lodging_Leonard,17544,17509,0.9980050159598723,278,0.01587754868924553,0,379.4576,719.0793959999997,2,0,82,Bull
Bull_education_Dania,17544,17518,0.9985180118559052,253,0.014442287932412376,0,458.4903,906.9415539999998,1,0,82,Bull
Bull_education_Reynaldo,17544,17508,0.9979480164158687,467,0.02667352067626228,0,310.4425,526.6395,2,0,188,Bull
Bull_education_Reina,17544,17509,0.9980050159598723,278,0.01587754868924553,0,923.9071,1872.050967999997,1,0,82,Bull
Bull_assembly_Freddie,17544,17518,0.9985180118559052,279,0.015926475625071355,0,1658.8275,8497.958745999995,2,0,82,Bull
Bull_education_Genie,17544,17517,0.9984610123119015,278,0.015870297425358223,0,1237.9365,3262.443184,2,0,82,Bull
Bull_education_Tracey,17544,17528,0.9990880072959416,2019,0.11518712916476495,0,1499.1537,3700.997443999999,1,0,1276,Bull
Bull_education_Lydia,17544,17513,0.9982330141358869,790,0.04510934734197453,0,941.3464,2143.6325240000006,1,0,82,Bull
Bull_education_Mario,17544,17528,0.9990880072959416,280,0.01597444089456869,0,676.9134,2038.712975,1,0,25,Bull
Bull_public_Hyun,17544,17516,0.9984040127678978,281,0.016042475451016214,0,3665.8208,6496.2294099999945,1,0,82,Bull
Bull_assembly_Brandon,17544,17523,0.9988030095759234,261,0.014894709809964048,0,460.4693,1851.143591999998,4,0,23,Bull
Bull_lodging_Dave,17544,17515,0.9983470132238942,281,0.016043391378818155,0,3618.8214,6274.142798,2,0,82,Bull
Bull_education_Linnie,17544,17520,0.9986320109439124,279,0.015924657534246576,0,1793.6413,4101.401544000002,1,0,82,Bull
Bull_assembly_Dorethea,17544,17518,0.9985180118559052,1064,0.06073752711496746,0,245.8806,414.17007599999954,1,0,91,Bull
Bull_education_Miranda,17544,17510,0.998062015503876,279,0.015933752141633353,0,270.246,714.7047259999999,2,0,82,Bull
Bull_education_Roseann,17544,17525,0.9989170086639307,366,0.020884450784593438,0,2264.2525,5951.717819999995,1,0,25,Bull
Bull_lodging_Carie,17544,17530,0.999202006383949,1360,0.0775812892184826,0,496.09,843.3899,1,0,227,Bull
Bull_education_Geneva,17544,17527,0.999031007751938,560,0.031950704627146685,0,334.6845,906.7423140000006,1,0,130,Bull
Bull_assembly_Goldie,17544,17511,0.9981190150478796,253,0.014448061218662555,0,651.1877,1076.902,1,0,82,Bull
Bull_education_Krista,17544,17520,0.9986320109439124,605,0.034531963470319636,0,2033.5848999999998,5472.949742000002,1,0,315,Bull
Bull_assembly_Gerri,17544,17527,0.999031007751938,287,0.016374736121412676,0,1035.0976,3191.981586000007,1,0,25,Bull
Bull_education_Patrina,17544,17517,0.9984610123119015,419,0.023919620939658617,0,305.0006,773.860592,4,0,130,Bull
Bull_education_Lyn,17544,17528,0.9990880072959416,292,0.016659059790050206,0,99.8117,531.7006039999998,1,0,25,Bull
Bull_office_Mai,17544,17447,0.9944710442316461,323,0.01851321144036224,0,58.378,328.9380520000001,20,4,82,Bull
Bull_assembly_Gigi,17544,17517,0.9984610123119015,400,0.022834960324256436,0,1352.3428,4354.578128,1,0,82,Bull
Bull_office_Rob,17544,17519,0.9985750113999088,347,0.019807066613391176,0,2416.6292,10457.448241999997,1,0,82,Bull
